tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,decade,rating_tier,runtime_bucket,is_high_rated,vote_tier
tt2308725,movie,Helpless,Hoa-cha,0,2012.0,,117.0,"Drama,Mystery,Thriller",6.7,2839,2010,average,standard,0,known
tt0148754,movie,The Decline and Fall of Lacey Bodine,The Decline and Fall of Lacey Bodine,1,1975.0,,65.0,"Adult,Drama",5.1,19,1970,average,short,0,obscure
tt2063704,movie,La Estrella,La Estrella,0,2013.0,,95.0,"Comedy,Drama,Romance",5.3,170,2010,average,standard,0,obscure
tt0007984,movie,Earth's Man,A föld embere,0,1917.0,,,Drama,4.0,29,1910,poor,,0,obscure
tt0056208,movie,Madame,Madame Sans Gêne,0,1961.0,,98.0,"Comedy,Drama,Romance",6.0,518,1960,average,standard,0,obscure
tt11261820,movie,Tahara,Tahara,0,2020.0,,78.0,Drama,5.9,458,2020,average,short,0,obscure
tt6197972,movie,Meeting Jim,Meeting Jim,0,2018.0,,75.0,Documentary,7.7,300,2010,good,short,1,obscure
tt3400058,movie,The Shelter,The Shelter,0,2015.0,,76.0,"Drama,Horror,Thriller",3.5,445,2010,poor,short,0,obscure
tt8007272,movie,Mera ur kärlekens språk,Mera ur kärlekens språk,0,2009.0,,180.0,Drama,4.1,16,2000,poor,long,0,obscure
tt0140144,movie,Her Odd Tastes,Her Odd Tastes,0,1969.0,,72.0,"Adventure,Comedy,Drama",5.0,94,1960,poor,short,0,obscure
tt6603662,movie,English vs English,English vs English,0,2016.0,,116.0,Thriller,7.5,23,2010,good,standard,1,obscure
tt2408006,movie,The Talk,Razgovor,0,2011.0,,80.0,Drama,4.7,66,2010,poor,short,0,obscure
tt10693090,movie,Sunken Eldorado: The New Underwater Gold Rush?,Sunken Eldorado: The New Underwater Gold Rush?,0,2019.0,,52.0,Documentary,6.0,14,2010,average,short,0,obscure
tt11942126,movie,007: Shadows,Shadows,0,2020.0,,96.0,"Action,Thriller",8.2,29,2020,excellent,standard,1,obscure
tt0061403,movie,Bike Boy,Bike Boy,0,1967.0,,96.0,Drama,6.6,131,1960,average,standard,0,obscure
tt0271475,movie,Les eaux dormantes,Les eaux dormantes,0,1992.0,,96.0,"Crime,Drama,Mystery",5.0,36,1990,poor,standard,0,obscure
tt0099424,movie,Return to Action,Dip huet fung wan,0,1990.0,,,"Action,Crime,Drama",5.9,25,1990,average,,0,obscure
tt1116935,movie,When They Cry,Higurashi no naku koro ni,0,2008.0,,105.0,"Drama,Horror,Mystery",5.4,463,2000,average,standard,0,obscure
tt5333700,movie,Red Net,Red Net,0,2016.0,,70.0,Thriller,3.2,40,2010,poor,short,0,obscure
tt20415188,movie,A Lucky Man,Bamse,0,2022.0,,92.0,"Biography,Drama,Music",7.2,1321,2020,good,standard,1,known
tt13049760,movie,The Last Matinee,Al morir la matinée,0,2020.0,,88.0,"Horror,Thriller",5.8,2858,2020,average,short,0,known
tt0122761,movie,Tordenskjold går i land,Tordenskjold går i land,0,1942.0,,91.0,Drama,5.2,21,1940,average,standard,0,obscure
tt2412550,movie,Colors,Cores,0,2012.0,,95.0,Drama,6.0,78,2010,average,standard,0,obscure
tt3671534,movie,Chithirayil Nilachoru,Chithirayil Nilachoru,0,2013.0,,,Drama,5.1,17,2010,average,,0,obscure
tt31723358,movie,Tell Me What You Want,Pídeme lo que quieras,0,2024.0,,114.0,"Drama,Romance,Thriller",4.0,2245,2020,poor,standard,0,known
tt0156511,movie,En bordée,En bordée,0,1958.0,,85.0,Comedy,4.4,12,1950,poor,short,0,obscure
tt0076121,movie,The Garden,Ha-Gan,0,1977.0,,90.0,Drama,5.5,134,1970,average,short,0,obscure
tt0029201,movie,The Man Who Could Work Miracles,The Man Who Could Work Miracles,0,1936.0,,82.0,"Comedy,Family,Fantasy",6.9,1755,1930,average,short,0,known
tt1390466,movie,Moving Adult Cats,Att flytta vuxna katter,0,2005.0,,58.0,Documentary,7.6,11,2000,good,short,1,obscure
tt7088344,movie,American Socialist: The Life and Times of Eugene Victor Debs,American Socialist: The Life and Times of Eugene Victor Debs,0,2017.0,,97.0,Documentary,7.0,60,2010,average,standard,1,obscure
tt0102630,movie,Ett paradis utan biljard,Ett paradis utan biljard,0,1991.0,,113.0,Comedy,5.8,38,1990,average,standard,0,obscure
tt7087942,movie,Yaanum Theeyavan,Yaanum Theeyavan,0,2017.0,,106.0,"Action,Crime",5.9,75,2010,average,standard,0,obscure
tt3559202,movie,Tiempo sin aire,Tiempo sin aire,0,2015.0,,106.0,Drama,6.2,395,2010,average,standard,0,obscure
tt9138804,movie,Morbid Colors,Morbid Colors,0,2021.0,,105.0,"Drama,Horror,Thriller",5.0,81,2020,poor,standard,0,obscure
tt31418588,movie,Ayane,Ayane,0,2023.0,,,,5.6,12,2020,average,,0,obscure
tt9061308,movie,Opening the Mind,Opening the Mind,0,2019.0,,115.0,Horror,6.6,25,2010,average,standard,0,obscure
tt5684312,movie,Flesh and Blood a Go! Go!,Flesh and Blood a Go! Go!,0,2017.0,,,"Drama,Horror",8.4,18,2010,excellent,,1,obscure
tt0425558,movie,Tre,Tre,0,2006.0,,87.0,"Drama,Romance",4.7,212,2000,poor,short,0,obscure
tt26344862,movie,Dr. Tony Fauci,Dr. Tony Fauci,0,2023.0,,115.0,Documentary,6.9,24,2020,average,standard,0,obscure
tt0070050,movie,Falamos de Rio de Onor,Falamos de Rio de Onor,0,1973.0,,60.0,Documentary,7.0,14,1970,average,short,1,obscure
tt3106750,movie,The Glass House,The Glass House,0,2014.0,,95.0,"Drama,Romance,Thriller",7.0,23,2010,average,standard,1,obscure
tt0280855,movie,"Lachine, the People's Hope",Lachine,0,1938.0,,98.0,"Drama,Romance",6.5,73,1930,average,standard,0,obscure
tt5816044,movie,Over Water,Spunti na vode,0,2017.0,,83.0,"Comedy,Family",5.8,210,2010,average,short,0,obscure
tt0028023,movie,Navy Born,Navy Born,0,1936.0,,68.0,"Drama,Romance",4.9,78,1930,poor,short,0,obscure
tt5092380,movie,A Breath Away,Dans la brume,0,2018.0,,89.0,"Action,Drama,Mystery",5.9,8306,2010,average,short,0,known
tt2194661,movie,Secret Societies,Secret Societies,0,2007.0,,60.0,"Documentary,History",5.1,51,2000,average,short,0,obscure
tt7604948,movie,Gutterbug,Gutterbug,0,2019.0,,101.0,"Crime,Drama",6.2,2918,2010,average,standard,0,known
tt0132378,movie,Olsen-banden tar gull,Olsen-banden tar gull,0,1972.0,,94.0,"Comedy,Crime,Family",6.8,1207,1970,average,standard,0,known
tt6079516,movie,I See You,I See You,0,2019.0,,98.0,"Horror,Mystery,Thriller",6.8,75121,2010,average,standard,0,popular
tt0261512,movie,The Absolutely Outrageous Adventures of the Politically Incorrect Bikini Babes of Arizona,The Absolutely Outrageous Adventures of the Politically Incorrect Bikini Babes of Arizona,0,1997.0,,,Animation,5.9,18,1990,average,,0,obscure
tt5920318,movie,Melancholy Is a Movement,Melancholy Is a Movement,0,2015.0,,75.0,Drama,6.1,33,2010,average,short,0,obscure
tt1558877,movie,Vavien,Vavien,0,2009.0,,100.0,"Comedy,Drama,Thriller",7.5,14680,2000,good,standard,1,popular
tt5354848,movie,The Blue Triangle,Mosallas-e abi,0,2000.0,,,"Drama,Sport",9.1,92,2000,excellent,,1,obscure
tt0350945,movie,"Fluffy Cumsalot, Porn Star","Fluffy Cumsalot, Porn Star",0,2003.0,,57.0,Documentary,4.7,339,2000,poor,short,0,obscure
tt0422446,movie,The Sparrow in the Pumpkin,Hyotan suzume,0,1959.0,,55.0,"Animation,Drama,Family",5.5,22,1950,average,short,0,obscure
tt0318605,movie,Rajavin Parvaiyile,Raajavin Paarvayile,0,1995.0,,135.0,"Drama,Romance",7.0,1198,1990,average,long,1,known
tt0187840,movie,Êxtase de Sádicos,Êxtase de Sádicos,0,1973.0,,88.0,Crime,5.7,13,1970,average,short,0,obscure
